Designator,Footprint,Quantity,Value,LCSC Part #
"3vpins1, GNDpins1, extra_gpio1",PinSocket_1x12_P2.54mm_Vertical,3,Conn_01x12,
"C1, C10, C11, C12, C13, C21, C23, C24",0603,8,1uf,
"C14, C19, C2, C22, C3, C7, C8, C9",0603,8,0.1uf,
"C15, C18, C20, C4, C5, C6",CP_Elec_5x5.7,6,10uf,
"C16, C17",0603,2,1nf,
D1,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,1,SK6812,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
J3,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"MUTE1, NEOPIXEL_OUT1",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
"R10, R11, R8, R9",0603,4,47k,
"R12, R13, R14, R15",0603,4,10k,
"R2, R3, R4, R5",0603,4,22,
"R6, R7",0603,2,470,
STEMMA_QT_I2C1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST_SH_SM04,
U1,Teensy40_SMT,1,Teensy4.0,
"U2, U3",SOT-89-3,2,AP7365-33YG,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U5,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
VIBMTR1,TerminalBlock_bornier-2_P5.08mm,1,VIBMTR,
